IC - I-80 @ Dubuque St (07),rtsp://207.28.200.108:1935/live/ictv07lb.stream/
IC - I-80 @ Hwy 1 (08),rtsp://207.28.200.108:1935/live/ictv08lb.stream/
IC - I-80 @ Herbert Hoover Highway (09),rtsp://207.28.200.108:1935/live/ictv09lb.stream/
IC - I-80 @ Wapsi Ave (10),rtsp://207.28.200.108:1935/live/ictv10lb.stream/
IC - US 218 @ Hwy 1 (11),rtsp://207.28.200.108:1935/live/ictv11lb.stream/
IC - US 218 @ Melrose (12),rtsp://207.28.200.108:1935/live/ictv12lb.stream/
IC - I-380 @ Forevergreen Rd (13),rtsp://207.28.200.108:1935/live/ictv13lb.stream/
IC - I-380 @ Penn St (14),rtsp://207.28.200.108:1935/live/ictv14lb.stream/
IC - I-380 @ Swan Lake (15),rtsp://207.28.200.108:1935/live/ictv15lb.stream/
IC - I-380 @ Hwy 965 NE (16),rtsp://207.28.200.108:1935/live/ictv16lb.stream/
IC - I-380 @ Iowa River (17),rtsp://207.28.200.108:1935/live/ictv17lb.stream/
IC - I-380 @ Swisher (18),rtsp://207.28.200.108:1935/live/ictv18lb.stream/
SC - I-29 @ Sergeant Bluff Rest Area (01),rtsp://96.63.178.132:1935/live/sctv01lb.stream/
SC - I-29 @ 1st St in Sergeant Bluff (02),rtsp://96.63.178.132:1935/live/sctv02lb.stream/
SC - I-29 @ 8th St in Sergeant Bluff (03),rtsp://96.63.178.132:1935/live/sctv03lb.stream/
SC - I-29 @ Singing Hills (04),rtsp://96.63.178.132:1935/live/sctv04lb.stream/
SC - I-29 @ US 20 - South (05),rtsp://96.63.178.132:1935/live/sctv05lb.stream/
SC - I-29 @ US 20 (06),rtsp://96.63.178.132:1935/live/sctv06lb.stream/
SC - I-29 @ US 20 - North (07),rtsp://96.63.178.132:1935/live/sctv07lb.stream/
SC - I-29 @ RR Bridge (08),rtsp://96.63.178.132:1935/live/sctv08lb.stream/
SC - I-29 @ Floyd (09),rtsp://96.63.178.132:1935/live/sctv09lb.stream/
SC - I-29 @ Wesley Parkway (10),rtsp://96.63.178.132:1935/live/sctv10lb.stream/
SC - I-29 @ Hamilton (11),rtsp://96.63.178.132:1935/live/sctv11lb.stream/
SC - I-29 @ Riverside (13),rtsp://96.63.178.132:1935/live/sctv13lb.stream/
SC - US 20 @ Lakeport (14),rtsp://96.63.178.132:1935/live/sctv14lb.stream/
SC - US 20 @ Christy (15),rtsp://96.63.178.132:1935/live/sctv15lb.stream/
SC - US 20 @ Sunnybrook (16),rtsp://96.63.178.132:1935/live/sctv16lb.stream/
SC - US 20 @ Morningside (17),rtsp://96.63.178.132:1935/live/sctv17lb.stream/
SC - US 20 @ Gordon (18),rtsp://96.63.178.132:1935/live/sctv18lb.stream/
SC - Gordon Dr @ Nebraska (19),rtsp://96.63.178.132:1935/live/sctv19lb.stream/
SC - Gordon Dr @ Virginia (20),rtsp://96.63.178.132:1935/live/sctv20lb.stream/
SC - S Lewis @ Singing Hills (21),rtsp://96.63.178.132:1935/live/sctv21lb.stream/
SC - S Lewis @ Glenn (22),rtsp://96.63.178.132:1935/live/sctv22lb.stream/
SC - S Lewis @ Golf Course (23),rtsp://96.63.178.132:1935/live/sctv23lb.stream/
SC - S Lewis @ Gordon (25),rtsp://96.63.178.132:1935/live/sctv25lb.stream/
SC - I-29 @ Bluff (26),rtsp://96.63.178.132:1935/live/sctv26lb.stream/
DM - I-35 @ Mills Civic (50),rtsp://205.221.66.10:1935/live/dmtv50lb.stream/
DM - I-35/80 @ University (51),rtsp://205.221.66.10:1935/live/dmtv51lb.stream/
DM - I-35 @ Grand (49),rtsp://205.221.66.10:1935/live/dmtv49lb.stream/
DM - I-80 @ Grand Prairie Pkwy (48),rtsp://205.221.66.10:1935/live/dmtv48lb.stream/
DM - I-80 @ East of US 65 (47),rtsp://205.221.66.10:1935/live/dmtv47lb.stream/
CB - I-80 @ Missouri River Bridge (01),rtsp://216.159.73.20:1935/live/cbtv01lb.stream/
CB - I-29/80 @ 24th Street (03),rtsp://216.159.73.20:1935/live/cbtv03lb.stream/
CB - I-29/80 @ Indian Creek (04),rtsp://216.159.73.20:1935/live/cbtv04lb.stream/
CB - I-29/80 @ S Expressway (05),rtsp://216.159.73.20:1935/live/cbtv05lb.stream/
CB - I-80 @ East I-29 Interchange (06),rtsp://216.159.73.20:1935/live/cbtv06lb.stream/
CB - I-80 @ Harry Langdon (07),rtsp://216.159.73.20:1935/live/cbtv07lb.stream/
CB - I-80 @ Madison Avenue (08),rtsp://216.159.73.20:1935/live/cbtv08lb.stream/
CB - I-80 @ Valley View (09),rtsp://216.159.73.20:1935/live/cbtv09lb.stream/
CB - I-80 @ McPherson (10),rtsp://216.159.73.20:1935/live/cbtv10lb.stream/
CB - I-80 @ Hubbard Road (11),rtsp://216.159.73.20:1935/live/cbtv11lb.stream/
CB - I-80 @ US 6 (12),rtsp://216.159.73.20:1935/live/cbtv12lb.stream/
CB - I-29 @ IA 370 (13),rtsp://216.159.73.20:1935/live/cbtv13lb.stream/
CB - I-29 @ 192nd Street (14),rtsp://216.159.73.20:1935/live/cbtv14lb.stream/
CB - I-29 @ Basswood Road (15),rtsp://216.159.73.20:1935/live/cbtv15lb.stream/
CB - I-29 @ US 275 (16),rtsp://216.159.73.20:1935/live/cbtv16lb.stream/
CB - I-29 @ Nebraska Avenue (17),rtsp://216.159.73.20:1935/live/cbtv17lb.stream/
CB - I-29 @ 9th Avenue (18),rtsp://216.159.73.20:1935/live/cbtv18lb.stream/
CB - I-29 @ I-480 Interchange (19),rtsp://216.159.73.20:1935/live/cbtv19lb.stream/
CB - I-480 @ Missouri River Bridge (20),rtsp://216.159.73.20:1935/live/cbtv20lb.stream/
CB - I-29 @ 35th Street (21),rtsp://216.159.73.20:1935/live/cbtv21lb.stream/
CB - I-29 @ 25th Street (22),rtsp://216.159.73.20:1935/live/cbtv22lb.stream/
CB - I-29 @ IA 192 (23),rtsp://216.159.73.20:1935/live/cbtv23lb.stream/
CB - US 275 East of Missouri River Bridge (25),rtsp://216.159.73.20:1935/live/cbtv25lb.stream/
CB - US 275 @ 24th Street (26),rtsp://216.159.73.20:1935/live/cbtv26lb.stream/
CB - US 275 @ 11th Street (27),rtsp://216.159.73.20:1935/live/cbtv27lb.stream/
CB - US 275 @ South Expressway (28),rtsp://216.159.73.20:1935/live/cbtv28lb.stream/
CB - Broadway @ 16th Street (29),rtsp://216.159.73.20:1935/live/cbtv29lb.stream/
CB - Kanesville @ 7th Street (30),rtsp://216.159.73.20:1935/live/cbtv30lb.stream/
CB - Kanesville @ N Broadway (31),rtsp://216.159.73.20:1935/live/cbtv31lb.stream/
CB - 23rd Avenue @ 24th Street (32),rtsp://216.159.73.20:1935/live/cbtv32lb.stream/
CB - 23rd Avenue @ Mid America Dr (33),rtsp://216.159.73.20:1935/live/cbtv33lb.stream/
CB - I-29 @ S of Hamilton Ln (34),rtsp://216.159.73.20:1935/live/cbtv34lb.stream/
CB - I-29 @ S of South I-680 Interchange (35),rtsp://216.159.73.20:1935/live/cbtv35lb.stream/
CB - I-29 @ South I-680 Interchange (36),rtsp://216.159.73.20:1935/live/cbtv36lb.stream/
CB - I-29 @ North I-680 Interchange (37),rtsp://216.159.73.20:1935/live/cbtv37lb.stream/
CB - I-80 @ I-680 Interchange (38),rtsp://216.159.73.20:1935/live/cbtv38lb.stream/
CB - I-80 @ Minden Interchange (39),rtsp://216.159.73.20:1935/live/cbtv39lb.stream/
CB - Avenue G @ 16th Street (41),rtsp://216.159.73.20:1935/live/cbtv41lb.stream/
CB - Avenue G @ 8th Street (42),rtsp://216.159.73.20:1935/live/cbtv42lb.stream/
IC - I-80 @ 12th Avenue (23),rtsp://207.28.200.108:1935/live/ictv23lb.stream/
IC - I-80 @ Prairie du Chein (24),rtsp://207.28.200.108:1935/live/ictv24lb.stream/
CR - I-380 @ Rest Area (01),rtsp://207.28.200.108:1935/live/crtv01lb.stream/
CR - I-380 @ Wright Bros Blvd (02),rtsp://207.28.200.108:1935/live/crtv02lb.stream/
CR - I-380 @ 76th Ave (03),rtsp://207.28.200.108:1935/live/crtv03lb.stream/
CR - I-380 @ US 30- South (04),rtsp://207.28.200.108:1935/live/crtv04lb.stream/
IC - US 218 @ Melrose DMS (25),rtsp://207.28.200.108:1935/live/ictv25lb.stream/
WL - US 20 @ Ansburough (01),rtsp://216.159.161.35:1935/live/wltv01lb.stream/
WL - US 20 @ Hawkeye Road (02),rtsp://216.159.161.35:1935/live/wltv02lb.stream/
WL - US 20 @ Hammond (03),rtsp://216.159.161.35:1935/live/wltv03lb.stream/
WL - US 218 @ SB Ramp to I-380 SB (04),rtsp://216.159.161.35:1935/live/wltv04lb.stream/
WL - I-380 @ Cedar River (06),rtsp://216.159.161.35:1935/live/wltv06lb.stream/
WL - I-380 @ US-20 West (05),rtsp://216.159.161.35:1935/live/wltv05lb.stream/
WL - I-380 @ River Forest Road (07),rtsp://216.159.161.35:1935/live/wltv07lb.stream/
WL - I-380 @ River Road (08),rtsp://216.159.161.35:1935/live/wltv08lb.stream/
WL - I-380 @ Evansdale Drive (09),rtsp://216.159.161.35:1935/live/wltv09lb.stream/
WL - I-380 @ Gilbertville Road (10),rtsp://216.159.161.35:1935/live/wltv10lb.stream/
WL - I-380 @ S. Raymond Road (11),rtsp://216.159.161.35:1935/live/wltv11lb.stream/
WL - I-380 @ US-20 East -1 (12),rtsp://216.159.161.35:1935/live/wltv12lb.stream/
WL - I-380 @ US-20 East -2 (13),rtsp://216.159.161.35:1935/live/wltv13lb.stream/
WL - I-380 @ MM 64 (14),rtsp://216.159.161.35:1935/live/wltv14lb.stream/
WL - I-380 @ Poyner Road (15),rtsp://216.159.161.35:1935/live/wltv15lb.stream/
WL - Evansdale water Tower - West (16),rtsp://216.159.161.35:1935/live/wltv16lb.stream/
WL - Evansdale water Tower - East (17),rtsp://216.159.161.35:1935/live/wltv17lb.stream/
WL - US-20 @ S. Canfield Road (18),rtsp://216.159.161.35:1935/live/wltv18lb.stream/
RWIS - I-80/29 MM 2 @ Co Bluffs,cctv-inventory-item
R12: I-80/29 Roadway,cctv-inventory-item
R12: I-80/29 Bridge,cctv-inventory-item
R12: I-80/29 East,cctv-inventory-item
SC - I-29 @ S. Riverside (27),rtsp://96.63.178.132:1935/live/sctv27lb.stream/
SC - I-29 @ South of Riverside (12),rtsp://96.63.178.132:1935/live/sctv12lb.stream/
